employee_id,department,region,performance_score,years_experience,satisfaction_rating
EMP001,HR,Asia Pacific,69.41,15,4.1
EMP002,Finance,Middle East,72.06,13,3.3
EMP003,Operations,Latin America,93.7,14,4.5
EMP004,R&D,Middle East,79.24,9,3.7
EMP005,Finance,North America,60.54,14,5.0
EMP006,IT,Europe,85.32,7,4.2
EMP007,IT,Asia Pacific,78.91,5,3.9
EMP008,Sales,North America,82.45,12,4.6
EMP009,IT,Europe,91.23,8,4.8
EMP010,HR,Latin America,67.89,6,3.5
EMP011,Finance,Asia Pacific,88.76,10,4.3
EMP012,IT,Middle East,76.54,4,3.8
EMP013,Operations,Europe,80.12,11,4.1
EMP014,IT,North America,89.45,9,4.7
EMP015,Sales,Asia Pacific,73.21,8,3.6
EMP016,IT,Europe,84.67,6,4.4
EMP017,R&D,North America,92.34,13,4.9
EMP018,IT,Latin America,79.88,5,3.7
EMP019,Finance,Europe,81.23,9,4.2
EMP020,IT,Asia Pacific,86.54,7,4.5
EMP021,HR,Middle East,70.45,8,3.4
EMP022,IT,Europe,88.91,10,4.6
EMP023,Operations,North America,77.65,7,3.9
EMP024,IT,Asia Pacific,83.21,6,4.3
EMP025,Sales,Europe,75.43,9,3.8
EMP026,IT,Middle East,90.12,11,4.8
EMP027,Finance,Latin America,68.76,5,3.2
EMP028,IT,North America,87.34,8,4.5
EMP029,R&D,Europe,94.21,14,5.0
EMP030,IT,Asia Pacific,82.67,7,4.1
EMP031,HR,North America,71.23,6,3.6
EMP032,IT,Europe,85.89,9,4.4
EMP033,Operations,Middle East,79.45,10,4.0
EMP034,IT,Latin America,88.12,8,4.7
EMP035,Sales,Asia Pacific,76.89,7,3.7
EMP036,IT,Europe,91.45,12,4.9
EMP037,Finance,North America,83.67,11,4.3
EMP038,IT,Middle East,80.23,6,4.0
EMP039,R&D,Latin America,89.54,10,4.6
EMP040,IT,Asia Pacific,84.32,7,4.2
EMP041,HR,Europe,69.78,5,3.5
EMP042,IT,North America,86.91,9,4.5
EMP043,Operations,Asia Pacific,78.23,8,3.9
EMP044,IT,Europe,87.65,10,4.6
EMP045,Sales,Middle East,74.12,6,3.4
EMP046,Finance,Asia Pacific,82.45,12,4.4
EMP047,IT,Latin America,85.76,7,4.3
EMP048,R&D,Europe,93.21,13,4.8
EMP049,IT,North America,89.87,11,4.7
EMP050,HR,Middle East,70.91,7,3.6
EMP051,IT,Asia Pacific,83.54,8,4.2
EMP052,Operations,Europe,81.23,9,4.1
EMP053,Sales,North America,77.89,10,3.9
EMP054,IT,Middle East,88.34,9,4.6
EMP055,Finance,Latin America,72.45,6,3.3
EMP056,IT,Europe,90.67,12,4.8
EMP057,R&D,Asia Pacific,91.23,11,4.7
EMP058,IT,North America,84.91,8,4.4
EMP059,HR,Europe,68.54,5,3.4
EMP060,IT,Latin America,86.23,7,4.5
EMP061,Operations,Middle East,79.87,10,4.0
EMP062,IT,Asia Pacific,85.45,9,4.3
EMP063,Sales,Europe,75.67,8,3.8
EMP064,Finance,North America,80.12,11,4.2
EMP065,IT,Middle East,87.89,10,4.6
EMP066,R&D,Latin America,92.54,12,4.9
EMP067,IT,Europe,89.23,11,4.7
EMP068,HR,Asia Pacific,71.45,6,3.7
EMP069,IT,North America,83.76,8,4.3
EMP070,Operations,Europe,78.91,9,3.9
EMP071,Sales,Middle East,76.34,7,3.6
EMP072,IT,Asia Pacific,88.67,10,4.5
EMP073,Finance,Europe,81.89,12,4.4
EMP074,IT,Latin America,84.54,7,4.2
EMP075,R&D,North America,93.76,14,5.0
EMP076,IT,Middle East,86.12,9,4.4
EMP077,HR,Europe,69.23,5,3.3
EMP078,IT,Asia Pacific,87.45,11,4.6
EMP079,Operations,North America,80.67,10,4.1
EMP080,Sales,Latin America,74.89,6,3.5
EMP081,IT,Europe,91.23,13,4.8
EMP082,Finance,Asia Pacific,79.54,8,4.0
EMP083,IT,Middle East,85.87,8,4.3
EMP084,R&D,Europe,90.12,11,4.7
EMP085,IT,North America,88.34,10,4.5
EMP086,HR,Middle East,70.76,7,3.6
EMP087,IT,Asia Pacific,84.91,9,4.4
EMP088,Operations,Europe,77.23,8,3.8
EMP089,Sales,North America,76.54,9,3.9
EMP090,IT,Latin America,89.67,11,4.7
EMP091,Finance,Middle East,73.21,7,3.4
EMP092,IT,Europe,86.45,10,4.5
EMP093,R&D,Asia Pacific,92.89,12,4.9
EMP094,IT,North America,83.12,8,4.2
EMP095,HR,Europe,68.87,5,3.3
EMP096,IT,Middle East,87.23,9,4.6
EMP097,Operations,Latin America,79.54,10,4.0
EMP098,Sales,Asia Pacific,75.91,7,3.7
EMP099,IT,Europe,90.45,12,4.8
EMP100,Finance,North America,82.67,11,4.3
